DRUG_NAME,ATC_CODE,FORM.STRENGTH,ITEM_CODE,First,Last,,Type,Delivery route,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12312B,20/07/2021,20/07/2021,,Immunotherapy,Intravenous,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12315E,20/05/2021,19/01/2022,,Immunotherapy,Intravenous,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12323N,13/07/2021,22/01/2022,,Immunotherapy,Intravenous,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12574T,20/06/2021,12/04/2022,,Immunotherapy,Intravenous,
NIVOLUMAB,L01XC17,Injection concentrate for I.V. infusion 100 mg in 10 mL,12602G,17/06/2021,8/03/2022,,Immunotherapy,Intravenous,
PEMBROLIZUMAB,L01XC18,Solution concentrate for I.V. infusion 100 mg in 4 mL,12125E,17/04/2021,28/03/2022,,Immunotherapy,Intravenous,
PEMBROLIZUMAB,L01XC18,Solution concentrate for I.V. infusion 100 mg in 4 mL,12130K,18/03/2021,21/07/2021,,Immunotherapy,Intravenous,
PEMBROLIZUMAB,L01XC18,Solution concentrate for I.V. infusion 100 mg in 4 mL,12605K,2/08/2021,17/03/2022,,Immunotherapy,Intravenous,
PEMBROLIZUMAB,L01XC18,Solution concentrate for I.V. infusion 100 mg in 4 mL,12615Y,26/07/2021,4/03/2022,,Immunotherapy,Intravenous,
BLINATUMOMAB,L01XC19,Powder for I.V. infusion 38.5 micrograms,11867N,11/06/2021,13/01/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12220E,27/04/2021,9/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12225K,6/04/2021,12/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12226L,21/07/2021,29/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12228N,3/02/2021,2/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12229P,18/01/2021,24/11/2021,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12230Q,18/01/2021,5/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution concentrate for I.V. infusion 100 mg in 5 mL,12231R,3/05/2021,14/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12673B,30/12/2021,20/01/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12682L,13/11/2021,10/04/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12683M,3/11/2021,8/04/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12704P,17/11/2021,19/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12725R,25/11/2021,6/04/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12745T,16/12/2021,17/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12746W,28/11/2021,16/03/2022,,Targeted,Intravenous,
DARATUMUMAB,L01XC24,Solution for subcutaneous injection containing daratumumab 1800 mg in 15 mL,12755H,26/10/2021,4/04/2022,,Targeted,Intravenous,
INOTUZUMAB OZOGAMICIN,L01XC26,Powder for I.V. infusion 1 mg,11668D,28/05/2021,11/06/2021,,Targeted,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 840 mg in 14 mL,11931Y,20/11/2021,28/01/2022,,Immunotherapy,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 840 mg in 14 mL,12076N,18/02/2021,5/03/2022,,Immunotherapy,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 840 mg in 14 mL,12078Q,20/03/2021,5/02/2022,,Immunotherapy,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 840 mg in 14 mL,12098R,9/12/2021,25/03/2022,,Immunotherapy,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 840 mg in 14 mL,12159Y,5/05/2021,5/05/2021,,Immunotherapy,Intravenous,
ATEZOLIZUMAB,L01XC32,Solution concentrate for I.V. infusion 1200 mg in 20 mL,12168K,15/03/2021,3/04/2022,,Immunotherapy,Intravenous,
CARFILZOMIB,L01XG02,Powder for injection 30 mg,12243J,22/02/2021,31/05/2022,,Chemotherapy,Intravenous,
CARFILZOMIB,L01XG02,Powder for injection 30 mg,12244K,3/02/2021,31/05/2022,,Chemotherapy,Intravenous,
OLAPARIB,L01XK01,Tablet 100 mg,12170M,9/12/2020,9/12/2020,,Targeted,Oral,
OLAPARIB,L01XK01,Tablet 150 mg,12913P,20/05/2022,20/05/2022,,Targeted,Oral,
OLAPARIB,L01XK01,Tablet 150 mg,12929L,16/04/2022,16/04/2022,,Targeted,Oral,
VENETOCLAX,L01XX52,Pack containing 14 tablets venetoclax 10 mg and 7 tablets venetoclax 50 mg and 7 tablets venetoclax 100 mg and 14  tablets venetoclax 100 mg,12188L,20/01/2021,20/05/2022,,Targeted,Oral,
VENETOCLAX,L01XX52,Tablet 100 mg,12205J,3/03/2021,31/05/2022,,Targeted,Oral,
VENETOCLAX,L01XX52,Tablet 50 mg,12773G,16/12/2021,29/05/2022,,Targeted,Oral,
VENETOCLAX,L01XX52,Tablet 100 mg,12803W,1/12/2021,27/05/2022,,Targeted,Oral,
